title,artist,emotion,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness
Basic Rhythm,Franz Schubert,energetic,0.5564294782742827,0.8081295330394809,0.8603157058584826,169.18341035427966,0.7945034978976837,0.13849422753453805,0.5941177057067409,0.2597567308398559
Don Carlo,Giuseppe Verdi,romantic,0.3347236568926809,0.3032918351426249,0.574897119670983,90.57082791292865,0.6887741424524186,0.13451267505464481,0.5890607919469718,0.17836237394318963
Barracuda,AC/DC,neutral,0.31919158705506107,0.4453651890989159,0.4502799529836688,89.56974490808292,0.2874404929210032,0.5995317962129988,0.7590485247634241,0.31483220786953314
Life is a Highway,Ed Sheeran,angry,0.41212721807419744,0.9195570861365062,0.31426920983084905,173.66812477626405,0.19185143570649316,0.1489456711016892,0.08319949685531346,0.38137249091694186
Sappy,Everyday Group,angry,0.540925601656964,0.9229116641276736,0.15316550170264331,160.49945008661356,0.5963795154188659,0.018350500216072475,0.13701760141839,0.39340906472353604
Patience,Meditation Guru,neutral,0.5639864764101408,0.5140360858734545,0.4953837132643653,115.93593925155226,0.49698287038917616,0.669831470583863,0.453414570893058,0.5419353597305112
Joyful Melody,Normal Band,neutral,0.36788993750478405,0.5121252934617233,0.48636502432351497,120.59635626799164,0.20259452669332215,0.7699655196766437,0.6361203444576894,0.36864609201593285
My Heart Will Go On,Nirvana,neutral,0.47383101558892465,0.4084469091048923,0.5046922105045858,109.1586176840676,0.6765125465333437,0.8973665572478442,0.04014913877335147,0.5580415370435527
Dead Horse,AC/DC,romantic,0.4112989064698475,0.37180486528573065,0.4202192417867152,84.04560553713921,0.08129871743396243,0.7255967955188811,0.26196235888398434,0.5663216627932524
Eye of the Tiger,Bobby McFerrin,energetic,0.7135822900688246,0.9455945172655993,0.7652593742900299,190.0693373335652,0.5061270626179873,0.5109333638639999,0.4702145352426208,0.5166452173685415
All of Me,Avicii,calm,0.2538992645798366,0.20395976438304422,0.3633566212775486,72.07459970493295,0.1899216323073433,0.27896164717980665,0.6409698028963388,0.014286298952711385
Here Comes the Sun,Marconi Union,neutral,0.42880736698498895,0.5801861538994478,0.41319658846933466,110.58491023999713,0.22521199574156442,0.01842871626652971,0.2794620295098885,0.2765735248868247
Lake of Fire,The Beatles,neutral,0.4520240488607011,0.33944473078978626,0.5983135365033335,119.32573372862251,0.4245370113014992,0.40311665840237726,0.423427590858514,0.49002602098199016
Problem Child,Katrina and the Waves,sad,0.23353105047439818,0.1683812884549795,0.37372429054464484,96.67816860541896,0.45521751260913446,0.16425340346187864,0.12462105405378213,0.29135710395291964
Simple Tune,Britney Spears,energetic,0.699924616108561,0.6915535605816172,0.9417335801080349,162.5088528858612,0.28593597930257547,0.32058932711972815,0.2015134114090077,0.20747945216753566
T.N.T.,Def Leppard,happy,0.7535910317400771,0.8848393422004446,0.7142125945566669,144.0984145959427,0.6340159065219715,0.7345702871465,0.4416653550524665,0.42066060264040833
Tears in Heaven,The Beach Boys,happy,0.7904208746608716,0.7756336875870966,0.9371009385631536,133.47123014652504,0.4241639522220233,0.07505164729422799,0.49632858936885316,0.27024355543460404
You Give Love a Bad Name,Guns N' Roses,calm,0.051397879584708706,0.15732764671709507,0.5160273902734126,67.3243348235785,0.17432816181079247,0.008906460043918252,0.203811136790588,0.39295122657905807
Sappy,The Beatles,happy,0.7294783537847354,0.9686803255160854,0.8226918624987734,137.4294741487671,0.7513459890954242,0.6898662605571941,7.497185566753829e-05,0.5332816480751198
Heart-Shaped Box,AC/DC,neutral,0.48828793324451725,0.4111632226782238,0.641467054615437,114.91085912719805,0.2823873650137802,0.29275260768074673,0.4538117966541399,0.03493898253551035
Even in His Youth,Guns N' Roses,neutral,0.23568189593206287,0.40165691608739246,0.5831306738705695,117.7701380591896,0.3531401590321488,0.7282061557828966,0.05601734050408025,0.5142789552633135
Tranquil Waters,Johnny Cash,romantic,0.11604924126120744,0.3328406812450414,0.6626614793262436,67.53236650326004,0.4151274668619449,0.7457544221274965,0.2888492446752937,0.17144200862523298
Breakdown,The Beatles,romantic,0.5496159342010217,0.1719862087745386,0.7620448538550532,85.10276084467121,0.5240458328807044,0.2985651253033954,0.566570972625135,0.2650488069373375
Everyday Song,Mötley Crüe,energetic,0.5074563146191762,0.9311107143849194,0.7910017047994429,181.26057208065953,0.5633521424939585,0.8356150004564341,0.7888926260245142,0.044510823219901206
November Rain,Celine Dion,angry,0.6872367142730555,0.8734003177836582,0.3446852937055076,148.04432071734132,0.36890871226181804,0.4183876243533943,0.506031557071823,0.3940231883864466
Cheerful Tune,The Beatles,sad,0.23322217144873292,0.08776567999700459,0.20043464066354133,79.55153983328395,0.7104271652497154,0.05200114984396808,0.7575868955726017,0.22693244293054748
Everybody Hurts,Regular Group,calm,0.23782539911409165,0.17762804911681626,0.3301972829492435,82.93609031736086,0.22145021438482237,0.24005396813487825,0.18652484474051365,0.4951329267327269
Livin' on a Prayer,Judas Priest,angry,0.5347264619289064,0.7844879870016135,0.45967807271835676,162.17586515397,0.5055365587204215,0.7254570121150665,0.474486952981305,0.33123632135438014
Highway to Hell,AC/DC,neutral,0.6270865749294352,0.32423691236768587,0.38539369753022984,104.0066959463961,0.11294559612970119,0.6200692701706548,0.13750721619365375,0.4731131367342067
Hurt,Wham!,sad,0.40181744818384135,0.22905398554178422,0.3118193918766465,74.92877231180812,0.07711283881577753,0.01599283520502889,0.7640542939995161,0.027711170505199046
Average Day,The Beatles,sad,0.379256552203278,0.3410985615657765,0.2994847397259963,98.2706534071793,0.37714164051147225,0.33786072619183755,0.048417113750224776,0.4195568647252917
Dr. Feelgood,Limp Bizkit,sad,0.3243482184960292,0.4946479009729368,0.27562947173073665,76.43850416797656,0.2290912203377447,0.3667585853547542,0.5976100958631517,0.5455121287067883
Everybody Hurts,The Beatles,neutral,0.4487050715975081,0.4377326408037575,0.5184474273937996,100.6662530158306,0.6073413356719572,0.8233703710045299,0.5131174300061552,0.2826103518965843
I Love Rock 'n' Roll,Nirvana,sad,0.29942986817200223,0.3805310861683196,0.2537400398875373,71.91382403606848,0.5807534781966556,0.5660810812439789,0.5169462710919723,0.18259707260923033
Overdose,Nirvana,energetic,0.5201599145891268,0.781862275749361,0.7162540475355695,153.0561832511403,0.47557250819985025,0.48975238249641206,0.744859371582954,0.07547469433055976
Jump,AC/DC,happy,0.644258563705085,1.0,0.9297200692363884,146.16744735816178,0.19171466089221784,0.7803128225113298,0.08188680768310341,0.0016016158371523702
Thunderstruck,AC/DC,angry,0.5535722549593518,0.780992746668222,0.32528760896595044,166.92480101018643,0.38830942467818147,0.5447237540594764,0.6949255212616184,0.5684160635009861
Break Stuff,The Beatles,happy,0.7949373449920643,0.8210736025579417,0.9195114966958511,152.88245876512002,0.03827037230658484,0.7593523199049088,0.20432546203778168,0.049356946825236614
What Do You Do for Money Honey,The Beatles,angry,0.5706454668418464,0.7565000375126362,0.4064314292903796,173.52540677998317,0.7402106523761521,0.08605838413708777,0.7649096548914208,0.16463745954582362
In Bloom,Guns N' Roses,angry,0.638299226069611,0.7964989310174382,0.3884967329922069,154.19294282889763,0.3627105606369311,0.26136453514413865,0.5872974992753311,0.5276957538496438
Wonderful Tonight,AC/DC,calm,0.2212838894424824,0.16693608421176162,0.6145028108291514,42.7459657548133,0.16843003830663675,0.6491863076971366,0.4531598318435986,0.1274622711608636
Photograph,Nirvana,sad,0.32969590335565985,0.3693938801534963,0.12844078394847652,65.69768438530306,0.2658547190052243,0.04892518361079954,0.39371588551732795,0.1301349711746386
Routine,Britney Spears,calm,0.27533875269585434,0.13932134021095668,0.44143022263349996,65.24664058482193,0.2106537535960934,0.21693909350520355,0.7217960353576762,0.1568935822282849
Stay Away,Queen,sad,0.45829892527836463,0.2605471102256951,0.27254388153290904,69.97612852413019,0.009172577089163613,0.049928213321303774,0.5097116521249222,0.3808920144393324
Don Carlo,Amy Winehouse,sad,0.10026446735176477,0.14045321522884113,0.026686244823839043,75.66427273704755,0.738275701261696,0.6750634034257492,0.05344431768111786,0.4046326763829919
If You Want Blood (You've Got It),Guns N' Roses,calm,0.13700548675784022,0.34400078139552576,0.41417978180077764,82.62011330086307,0.44778628236139784,0.8117539153278778,0.6616818328086922,0.18824198207125784
School,Ed Sheeran,neutral,0.6219723580862747,0.583662147041553,0.7146422731928496,126.10217506274067,0.27247236574501404,0.3986313977329537,0.1460261429081917,0.2111947297326695
The Swan,Balanced Music,sad,0.5090801972976261,0.42312891484174797,0.19971789937168144,82.40056484145597,0.33135825256790974,0.5144818470432654,0.4705049561278502,0.5148020451463915
Norwegian Wood,Giacomo Puccini,romantic,0.6002493778041779,0.535884492371238,0.5310141127495511,95.62022027497358,0.5096363380132682,0.009720040420042042,0.07916696816644456,0.2677309620386023
Pretty Tied Up,Nirvana,energetic,0.5687181515024865,1.0,0.7814738569383931,174.36490929505027,0.35556350734429654,0.8552661593288452,0.6031026124791266,0.23844402852874264
Standard Song,The Beatles,neutral,0.4486428375960998,0.45334590342526904,0.46379263894898515,116.57497336277572,0.4525341887069907,0.8739294210155282,0.07159924878695537,0.02724538883194434
Pretty Tied Up,Nirvana,sad,0.34438486652450206,0.18766849223286403,0.16317008509037956,70.62197528393361,0.7548698705169459,0.5451165267535091,0.357579490433086,0.34141349507498747
Average Tune,Plain Singer,angry,0.5521390456027001,0.8623760511659139,0.3899113098502516,153.2754148748794,0.18774077254797988,0.6873780016112638,0.7812360416304803,0.010881888918211647
Kickstart My Heart,Nirvana,sad,0.42178695182035403,0.3252372297844128,0.1911031530189977,94.72055281569303,0.11158395481860968,0.5670783533188711,0.2678728490188211,0.5725819356112274
Hallelujah,AC/DC,happy,0.7796052620937165,0.7850762005510098,0.9985782208467167,141.41508243216504,0.6124387891463215,0.7812489908850406,0.4685841604315177,0.055646675443948614
Here Comes the Sun,The Righteous Brothers,calm,0.25324824532612955,0.1399601335796719,0.49197077048965765,86.08582630128403,0.006987756646104604,0.5855075711822709,0.27251743345168145,0.47368901444785116
"Ob-La-Di, Ob-La-Da",AC/DC,sad,0.3821580110194988,0.0676185634348972,0.13497289014972638,65.936163173849,0.7965837885035425,0.4244802669693715,0.26170384709166994,0.5487923214417496
Basic Melody,The Turtles,happy,0.7300537333731291,0.6373211083825056,0.6819707323194706,148.01334293830894,0.2118207125820634,0.4390045308485926,0.7634830888025758,0.2084379319968579
Simple Beat,Mötley Crüe,sad,0.26674199434373386,0.40095987235989083,0.1805327533434823,80.87325296888403,0.7847009113803537,0.7524463029509882,0.4226419737507793,0.272232506383096
The Swan,AC/DC,angry,0.4851525306495176,0.8098639996062555,0.16728567220342264,163.11363719804817,0.7940845914157029,0.18155351233193812,0.0434890893648193,0.3035502549097195
Wake Me Up,Everyday Singer,calm,0.30519390035439214,0.26844635462897876,0.4958330241289286,69.19574557007749,0.14817470216018666,0.653088542996895,0.39778394696588437,0.44293417891769604
All of Me,Nirvana,sad,0.44523073213516623,0.33553831346424395,0.27707366121503724,59.14660692350945,0.42700267773421174,0.6937021914012214,0.43821547288348406,0.4620007076971117
Un-break My Heart,Bon Iver,sad,0.2965678202400705,0.4247224373724695,0.258581259354238,82.00786016542241,0.33633107072046986,0.17448946955269676,0.4162866219196139,0.026973097714257797
More Than Words,Guns N' Roses,neutral,0.44272134806999286,0.4020529308134108,0.45243092780957395,101.01041923585606,0.5410199971296664,0.06450160494228227,0.45189805536178024,0.25926018416237145
Michelle,Erik Satie,angry,0.45870945172539895,0.7394611012925261,0.44410552691063526,163.0817877571922,0.3840855094000373,0.14761154205795193,0.39402118167309985,0.09903053133005583
Don Carlo,Regular Group,angry,0.6641135904651154,0.8891340728382994,0.28073664455338376,131.743044961215,0.18909018356690963,0.6476989020824029,0.6700371617473542,0.028773554517399578
River Flows in You,The Beatles,energetic,0.5126095171008581,0.9213610144369445,0.6431884461110136,155.0908502760057,0.5651584583151362,0.8248146523162737,0.39015755855944995,0.46894318085588116
Life is a Highway,AC/DC,sad,0.1658729600512004,0.45671922449788616,0.19406086555688398,93.77727447051004,0.6748126040771544,0.443149038393824,0.2642742538196782,0.12146829643978924
Everyday Rhythm,AC/DC,angry,0.635321957197145,0.9591558308582475,0.21763891847161346,177.7550199871949,0.48843087022386533,0.6821234208917286,0.5991677793724784,0.43346528204046
